permission,android_permission_group,privacy_category,source
"android.permission.BLUETOOTH, android.permission.WRITE_SECURE_SETTINGS",,,
com.android.email.permission.ACCESS_PROVIDER,,,
"android.permission.READ_PROFILE, android.permission.WRITE_PROFILE",,,
"android.permission.ACCESS_CACHE_FILESYSTEM, android.permission.ACCESS_DOWNLOAD_MANAGER, android.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED, android.permission.DOWNLOAD_CACHE_NON_PURGEABLE, android.permission.DOWNLOAD_WITHOUT_NOTIFICATION, android.permission.INTERNET, android.permission.WRITE_EXTERNAL_STORAGE",,,
android.permission.INSTALL_DRM,,,
"android.permission.ACCESS_CACHE_FILESYSTEM, android.permission.READ_EXTERNAL_STORAGE, android.permission.WRITE_EXTERNAL_STORAGE",,,
android.permission.SET_TIME,,,
android.permission.SET_TIME_ZONE,,,
android.permission.READ_LOGS,,,
android.permission.INSTALL_LOCATION_PROVIDER,LOCATION,Location,AOSP
"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION, android.permission.ACCESS_LOCATION_EXTRA_COMMANDS",,,
android.permission.ASEC_DESTROY,,,
android.permission.ASEC_RENAME,,,
android.permission.INTERNET,NETWORK,Connectivity,AOSP
"android.permission.DEVICE_POWER, android.permission.WAKE_LOCK",,,
"android.permission.ACCESS_COARSE_LOCATION, android.permission.READ_PHONE_STATE",,,
"android.permission.BACKUP, android.permission.BROADCAST_STICKY, android.permission.START_ANY_ACTIVITY",,,
"android.permission.BROADCAST_STICKY, android.permission.FORCE_STOP_PACKAGES, android.permission.START_ANY_ACTIVITY",,,
"android.permission.BROADCAST_STICKY, android.permission.KILL_BACKGROUND_PROCESSES, android.permission.START_ANY_ACTIVITY",,,
"android.permission.BROADCAST_STICKY, android.permission.REORDER_TASKS, android.permission.START_ANY_ACTIVITY",,,
"android.permission.ACCESS_CONTENT_PROVIDERS_EXTERNALLY, android.permission.BROADCAST_STICKY, android.permission.START_ANY_ACTIVITY",,,
android.permission.SET_ALWAYS_FINISH,,,
"android.permission.BROADCAST_STICKY, android.permission.SHUTDOWN, android.permission.START_ANY_ACTIVITY",,,
android.permission.SIGNAL_PERSISTENT_PROCESSES,,,
"android.permission.BROADCAST_STICKY, android.permission.START_ANY_ACTIVITY, android.permission.STOP_APP_SWITCHES",,,
android.permission.FORCE_BACK,,,
android.permission.SET_POINTER_SPEED,,,
"android.permission.MANAGE_NETWORK_POLICY, android.permission.READ_PHONE_STATE",,,
android.permission.CLEAR_APP_USER_DATA,,,
android.permission.DELETE_CACHE_FILES,,,
android.permission.GET_PACKAGE_SIZE,,,
android.permission.ACCESS_ALL_EXTERNAL_STORAGE,,,
temporaryEnableAccessibilityStateUntilKeyguardRemoved,,,
"android.permission.BACKUP, android.permission.START_ANY_ACTIVITY",,,
"android.permission.FILTER_EVENTS, android.permission.START_ANY_ACTIVITY",,,
"android.permission.KILL_BACKGROUND_PROCESSES, android.permission.START_ANY_ACTIVITY",,,
"android.permission.REORDER_TASKS, android.permission.START_ANY_ACTIVITY",,,
"android.permission.ACCESS_CONTENT_PROVIDERS_EXTERNALLY, android.permission.START_ANY_ACTIVITY",,,
"android.permission.SHUTDOWN, android.permission.START_ANY_ACTIVITY",,,
"android.permission.START_ANY_ACTIVITY, android.permission.STOP_APP_SWITCHES",,,
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MANAGE_NETWORK_POLICY, android.permission.READ_NETWORK_USAGE_HISTORY",,,
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MANAGE_NETWORK_POLICY, android.permission.MODIFY_NETWORK_ACCOUNTING, android.permission.READ_NETWORK_USAGE_HISTORY",,,
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MANAGE_NETWORK_POLICY, android.permission.MODIFY_NETWORK_ACCOUNTING",,,
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MODIFY_NETWORK_ACCOUNTING",,,
"android.permission.CLEAR_APP_USER_DATA, android.permission.INTERACT_ACROSS_USERS_FULL",,,
android.permission.MARK_NETWORK_SOCKET,,,
"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION, android.permission.UPDATE_APP_OPS_STATS, android.permission.UPDATE_DEVICE_STATS",,,
